,runID,module,name,value,interpolationmode,moduledisplaypath,recordingmode,source,title,unit,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset
36,OurMethod-0-20231128-13:02:26-396768,Testbed.leftSpeakers.app[0].sink,meanBitLifeTimePerPacket:vector:mean,12.366991402750003,none,Testbed.leftSpeakers.entertainment.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,1_OurMethod,20231128-13:02:26,20231128-130226,OurMethod,omnetpp.ini,,,,,Testbed,396768,0,#0,results,0,0
18,Cryptography-0-20231128-13:04:00-397280,Testbed.leftSpeakers.app[0].sink,meanBitLifeTimePerPacket:vector:mean,421.8505109168438,none,Testbed.leftSpeakers.entertainment.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,2_Cryptography,20231128-13:04:00,20231128-130400,Cryptography,omnetpp.ini,,,,,Testbed,397280,0,#0,results,0,0
16,AutomaticTsn-0-20231128-13:05:32-397770,Testbed.mdps.app[0].sink,meanBitLifeTimePerPacket:vector:mean,82.64441098049026,none,Testbed.mdps.adas steering.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,0_AutomaticTsn,20231128-13:05:32,20231128-130532,AutomaticTsn,omnetpp.ini,,,,,Testbed,397770,0,#0,results,0,0
52,OurMethod-0-20231128-13:02:26-396768,Testbed.mdps.app[0].sink,meanBitLifeTimePerPacket:vector:mean,82.70441098599296,none,Testbed.mdps.adas steering.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,1_OurMethod,20231128-13:02:26,20231128-130226,OurMethod,omnetpp.ini,,,,,Testbed,396768,0,#0,results,0,0
34,Cryptography-0-20231128-13:04:00-397280,Testbed.mdps.app[0].sink,meanBitLifeTimePerPacket:vector:mean,490.71600000000007,none,Testbed.mdps.adas steering.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,2_Cryptography,20231128-13:04:00,20231128-130400,Cryptography,omnetpp.ini,,,,,Testbed,397280,0,#0,results,0,0
11,AutomaticTsn-0-20231128-13:05:32-397770,Testbed.pcm.app[0].sink,meanBitLifeTimePerPacket:vector:mean,28.578518775000006,none,Testbed.pcm.adas engine control.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,0_AutomaticTsn,20231128-13:05:32,20231128-130532,AutomaticTsn,omnetpp.ini,,,,,Testbed,397770,0,#0,results,0,0
47,OurMethod-0-20231128-13:02:26-396768,Testbed.pcm.app[0].sink,meanBitLifeTimePerPacket:vector:mean,28.63851878049999,none,Testbed.pcm.adas engine control.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,1_OurMethod,20231128-13:02:26,20231128-130226,OurMethod,omnetpp.ini,,,,,Testbed,396768,0,#0,results,0,0
29,Cryptography-0-20231128-13:04:00-397280,Testbed.pcm.app[0].sink,meanBitLifeTimePerPacket:vector:mean,434.996,none,Testbed.pcm.adas engine control.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,2_Cryptography,20231128-13:04:00,20231128-130400,Cryptography,omnetpp.ini,,,,,Testbed,397280,0,#0,results,0,0
14,AutomaticTsn-0-20231128-13:05:32-397770,Testbed.rearLeftWheel.app[0].sink,meanBitLifeTimePerPacket:vector:mean,76.40665386643323,none,Testbed.rearLeftWheel.adas wheel control.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,0_AutomaticTsn,20231128-13:05:32,20231128-130532,AutomaticTsn,omnetpp.ini,,,,,Testbed,397770,0,#0,results,0,0
50,OurMethod-0-20231128-13:02:26-396768,Testbed.rearLeftWheel.app[0].sink,meanBitLifeTimePerPacket:vector:mean,76.52662385642819,none,Testbed.rearLeftWheel.adas wheel control.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,1_OurMethod,20231128-13:02:26,20231128-130226,OurMethod,omnetpp.ini,,,,,Testbed,396768,0,#0,results,0,0
32,Cryptography-0-20231128-13:04:00-397280,Testbed.rearLeftWheel.app[0].sink,meanBitLifeTimePerPacket:vector:mean,483.5772144227114,none,Testbed.rearLeftWheel.adas wheel control.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,2_Cryptography,20231128-13:04:00,20231128-130400,Cryptography,omnetpp.ini,,,,,Testbed,397280,0,#0,results,0,0
15,AutomaticTsn-0-20231128-13:05:32-397770,Testbed.rearRightWheel.app[0].sink,meanBitLifeTimePerPacket:vector:mean,81.93467006753377,none,Testbed.rearRightWheel.adas wheel control.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,0_AutomaticTsn,20231128-13:05:32,20231128-130532,AutomaticTsn,omnetpp.ini,,,,,Testbed,397770,0,#0,results,0,0
51,OurMethod-0-20231128-13:02:26-396768,Testbed.rearRightWheel.app[0].sink,meanBitLifeTimePerPacket:vector:mean,82.05464005752879,none,Testbed.rearRightWheel.adas wheel control.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,1_OurMethod,20231128-13:02:26,20231128-130226,OurMethod,omnetpp.ini,,,,,Testbed,396768,0,#0,results,0,0
33,Cryptography-0-20231128-13:04:00-397280,Testbed.rearRightWheel.app[0].sink,meanBitLifeTimePerPacket:vector:mean,489.6168265502754,none,Testbed.rearRightWheel.adas wheel control.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,2_Cryptography,20231128-13:04:00,20231128-130400,Cryptography,omnetpp.ini,,,,,Testbed,397280,0,#0,results,0,0
1,AutomaticTsn-0-20231128-13:05:32-397770,Testbed.rightSpeakers.app[0].sink,meanBitLifeTimePerPacket:vector:mean,18.966919999999725,none,Testbed.rightSpeakers.entertainment.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,0_AutomaticTsn,20231128-13:05:32,20231128-130532,AutomaticTsn,omnetpp.ini,,,,,Testbed,397770,0,#0,results,0,0
37,OurMethod-0-20231128-13:02:26-396768,Testbed.rightSpeakers.app[0].sink,meanBitLifeTimePerPacket:vector:mean,19.086919999999996,none,Testbed.rightSpeakers.entertainment.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,1_OurMethod,20231128-13:02:26,20231128-130226,OurMethod,omnetpp.ini,,,,,Testbed,396768,0,#0,results,0,0
19,Cryptography-0-20231128-13:04:00-397280,Testbed.rightSpeakers.app[0].sink,meanBitLifeTimePerPacket:vector:mean,433.2385954903088,none,Testbed.rightSpeakers.entertainment.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,2_Cryptography,20231128-13:04:00,20231128-130400,Cryptography,omnetpp.ini,,,,,Testbed,397280,0,#0,results,0,0
